,36,"Immutable
IMX",$1.77,0.82%,1.60%,25.78%,"$2,838,521,671","$46,487,536
26,304,831 IMX","1,605,299,431 IMX",,,,https://coinmarketcap.com/currencies/immutable-x/,,,,,,,,
,58,"FLOKI
FLOKI",$0.0001408,1.01%,5.49%,16.37%,"$1,350,853,222","$219,233,381
1,557,578,157,672 FLOKI","9,593,189,785,393 FLOKI",,,,https://coinmarketcap.com/currencies/floki-inu/,,,,,,,,
,76,"Beam
BEAM",$0.0172,0.50%,2.11%,19.04%,"$851,030,824","$16,931,640
985,469,494 BEAM","49,466,004,168 BEAM",,,,https://coinmarketcap.com/currencies/onbeam/,,,,,,,,
,80,"Notcoin
NOT",$0.007814,0.04%,2.97%,6.02%,"$800,727,398","$128,676,052
16,470,920,335 NOT","102,474,422,539 NOT",,,,https://coinmarketcap.com/currencies/notcoin/,,,,,,,,
,82,"MultiversX
EGLD",$28.67,0.50%,0.66%,11.62%,"$784,328,689","$14,881,155
518,873 EGLD","27,352,398 EGLD",,,,https://coinmarketcap.com/currencies/multiversx-egld/,,,,,,,,
,83,"Axie Infinity
AXS",$5.13,0.27%,1.64%,10.24%,"$771,864,149","$27,405,825
5,343,496 AXS","150,547,864 AXS",,,,https://coinmarketcap.com/currencies/axie-infinity/,,,,,,,,
,84,"Gala
GALA",$0.02192,1.20%,7.59%,21.92%,"$762,286,010","$106,879,040
4,876,144,793 GALA","34,777,791,273 GALA",,,,https://coinmarketcap.com/currencies/gala/,,,,,,,,
,95,"The Sandbox
SAND",$0.283,0.12%,2.24%,11.80%,"$676,168,031","$45,945,435
162,336,152 SAND","2,389,232,126 SAND",,,,https://coinmarketcap.com/currencies/the-sandbox/,,,,,,,,
,102,"Ronin
RON",$1.80,0.12%,3.34%,21.80%,"$629,607,751","$19,265,301
ron 10,714,090","349,723,796 RON",,,,https://coinmarketcap.com/currencies/ronin/,,,,,,,,
,105,"Decentraland
MANA",$0.3125,0.22%,1.76%,13.48%,"$596,409,543","$27,631,162
88,374,579 MANA","1,908,319,865 MANA",,,,https://coinmarketcap.com/currencies/decentraland/,,,,,,,,
