,951,"Ooki Protocol
OOKI",$0.001445,0.11%,4.64%,13.32%,"$12,684,544","$5,589,045
3,867,539,578 OOKI","8,777,524,502 OOKI",,,,https://coinmarketcap.com/currencies/ooki-protocol/,,,,,,,,
,978,"Three Protocol Token
THREE",$0.1399,0.85%,5.68%,37.90%,"$11,894,082","$522,468
3,733,769 THREE","85,000,000 THREE",,,,https://coinmarketcap.com/currencies/three-protocol-token/,,,,,,,,
,1002,"HotKeySwap
HOTKEY",$0.2658,0.04%,7.11%,37.39%,"$11,329,332","$129,242
486,258 HOTKEY","42,625,226 HOTKEY",,,,https://coinmarketcap.com/currencies/hotkeyswap/,,,,,,,,
,1006,"GameGPT
DUEL",$0.003782,1.26%,8.82%,25.58%,"$11,174,146","$1,487,201
393,258,483 DUEL","2,954,764,892 DUEL",,,,https://coinmarketcap.com/currencies/duel/,,,,,,,,
,1007,"Atlas Navi
NAVI",$0.1179,1.36%,1.51%,5.96%,"$11,164,216","$124,561
1,056,668 NAVI","94,707,592 NAVI",,,,https://coinmarketcap.com/currencies/atlas-navi/,,,,,,,,
,1029,"Matrix AI Network
MAN",$0.02299,0.11%,6.41%,28.56%,"$10,356,844","$471,521
20,513,176 MAN","450,566,510 MAN",,,,https://coinmarketcap.com/currencies/matrix-ai-network/,,,,,,,,
,1038,"DexCheck AI
DCK",$0.02963,3.28%,11.48%,23.03%,"$10,058,243","$1,219,784
41,162,444 DCK","339,422,186 DCK",,,,https://coinmarketcap.com/currencies/dexcheck/,,,,,,,,
,1073,"Nuco.cloud
NCDT",$0.2721,2.77%,8.93%,45.76%,"$9,004,524","$273,657
1,005,680 NCDT","33,091,343 NCDT",,,,https://coinmarketcap.com/currencies/nuco-cloud/,,,,,,,,
,1095,"Step App
FITFI",$0.00331,0.98%,1.30%,14.07%,"$8,374,874","$2,536,133
766,150,963 FITFI","2,530,000,000 FITFI",,,,https://coinmarketcap.com/currencies/step-app/,,,,,,,,
,1107,"Big Data Protocol
BDP",$0.156,2.47%,7.57%,35.94%,"$8,154,849","$173,584
1,112,806 BDP","52,278,856 BDP",,,,https://coinmarketcap.com/currencies/big-data-protocol/,,,,,,,,
,1114,"Synesis One
SNS",$0.01769,5.87%,20.78%,67.41%,"$8,069,500","$1,330,675
75,236,902 SNS","456,252,758 SNS",,,,https://coinmarketcap.com/currencies/synesis-one/,,,,,,,,
,1129,"TRVL
TRVL",$0.02365,2.63%,7.74%,3.49%,"$7,835,004","$235,859
9,971,413 TRVL","331,240,882 TRVL",,,,https://coinmarketcap.com/currencies/trvl/,,,,,,,,
,1139,"bitsCrunch
BCUT",$0.02735,0.17%,3.69%,14.14%,"$7,631,666","$539,399
19,720,714 BCUT","279,086,855 BCUT",,,,https://coinmarketcap.com/currencies/bitscrunch/,,,,,,,,
,1164,"Ta-da
TADA",$0.03112,0.07%,4.77%,3.67%,"$7,108,456","$133,788
4,298,647 TADA","228,397,204 TADA",,,,https://coinmarketcap.com/currencies/ta-da/,,,,,,,,
